crop,province,region,year,C_var,q_output,S_labor,S_mach,S_fert,S_seed,S_other,w_labor,w_mach,w_fert,w_seed,w_other,labor_days,fert_kg,cost_labor,cost_mach,cost_fert,cost_seed,cost_other,cost_land,land_rent
peanut,河北,huabei,2006,454.27,222.8,0.427499064433046,0.0998525106214366,0.161864089638321,0.216215026305941,0.0945693090012547,16.9,31.375,4.46448087431694,5.48715083798883,12.3572215306796,11.45,16.47,194.2,45.36,73.53,98.22,42.96,88.34,2.91
peanut,河北,huabei,2007,564.24,236,0.398305685523891,0.094853253934496,0.148571529845456,0.266110165886857,0.092159364809301,18.7,30.4167,4.61618942731278,7.21875,10.4044271628239,11.91,18.16,224.74,53.52,83.83,150.15,52,121.07,3.5
peanut,河北,huabei,2008,600.87,246.1,0.389917952302495,0.0982741691214406,0.163462978680913,0.26812788123887,0.0802170186562817,21.6,30.75,7.11223750905141,7.85136452241716,15.8736650048048,10.75,13.81,234.29,59.05,98.22,161.11,48.2,138.35,3.54
peanut,河北,huabei,2009,602.95,244.59,0.429770296044448,0.0891284517787545,0.143759847416867,0.238245293971308,0.0990961107886226,24.8,31.5,5.07791446983011,7.76906435911304,16.4477870065286,10.36,17.07,259.13,53.74,86.68,143.65,59.75,148.04,0.51
peanut,河北,huabei,2010,700.57,240.14,0.465149806586066,0.0942660976062349,0.133477025850379,0.237278216309577,0.069828853647744,31.3,31.5,5.26223972988182,9.28140703517588,16.490329162,10.37,17.77,325.87,66.04,93.51,166.23,48.92,175.03,4.32
peanut,河北,huabei,2011,878.02,242.91,0.470262636386415,0.0802601307487301,0.128379763558917,0.253285802145737,0.0678116671602014,40,34.2353830123164,6.29720670391062,12.1127450980392,14.5594592097723,10.29,17.9,412.9,70.47,112.72,222.39,59.54,189.8,4.85
peanut,河北,huabei,2012,1103.36,241.88,0.537757395591647,0.0829375725058005,0.106646969257541,0.205644576566125,0.0670134860788863,56,37.2083,6.46893897746014,12.5359116022099,18.5222694921916,10.6,18.19,593.34,91.51,117.67,226.9,73.94,214.93,5.36
peanut,河北,huabei,2013,1209.55,240.99,0.591352155760407,0.0769377041048324,0.0975404075895995,0.187053036253152,0.0471166962920094,68,40.9191092278412,6.44347351174222,12.590428491931,18.6202173513873,10.62,18.31,715.27,93.06,117.98,226.25,56.99,230.35,14.71
peanut,河北,huabei,2014,1261.11,259.51,0.615656049036167,0.0803815686181221,0.0911022829095004,0.171967552394319,0.0408925470418917,74.4,45,5.97141372141372,12.1224147568474,18.3931738243311,10.46,19.24,776.41,101.37,114.89,216.87,51.57,234.54,10.39
peanut,河北,huabei,2015,1254.65,259.07,0.623273422866935,0.0832901606025585,0.0844538317459052,0.166269477543538,0.0427131072410633,78,45,5.63916977115487,12.05141536684,17.9814504589902,10.08,18.79,781.99,104.5,105.96,208.61,53.59,246.74,7.89
