draw,success,nll_aidads,nll_maidads,lr_stat,message,elapsed_seconds,n_sampled_provinces,n_unique_sampled_provinces
369,False,-3080.5775818093884,-3332.4084968431084,503.6618300674399,ok,262.8335041999817,31,17
370,True,-3097.735660056083,-3178.4404239421956,161.40952777222537,ok,88.49176096916199,31,20
371,False,-3164.246351827572,-3373.9946996644103,419.4966956736762,ok,134.34690809249878,31,22
372,True,-3465.2421410686907,-3514.5325568064172,98.58083147545312,ok,165.63776111602783,31,23
373,False,-2954.541206550028,-3055.4129753078055,201.74353751555464,ok,87.8637969493866,31,21
374,True,-3513.524651392967,-3544.1964711051546,61.3436394243754,ok,252.92917704582217,31,19
375,True,-2952.677589574944,-3267.099379756378,628.8435803628672,ok,217.51894521713257,31,19
376,True,-2967.4778609884033,-3256.8178800425794,578.6800381083522,ok,194.1666362285614,31,18
377,True,-3476.1921115015534,-3528.9072705863855,105.43031816966412,ok,119.83871483802795,31,20
378,True,-3056.914505421408,-3333.025168190476,552.2213255381357,ok,156.54498600959778,31,24
379,True,-3058.353353767108,-3209.2726924997532,301.83867746529086,ok,135.05551195144653,31,21
380,True,-2985.846052507474,-3349.673148340055,727.6541916651622,ok,211.23557233810425,31,19
381,False,-2968.230797011819,-3212.0908032579205,487.7200124922029,ok,251.85344195365903,31,20
382,True,-3175.614621910033,-3447.923040962009,544.6168381039524,ok,107.66320991516112,31,18
383,True,-3006.6533153862956,-3319.910398677666,626.5141665827405,ok,83.71232080459595,31,21
384,True,-3404.3806277307062,-3454.8881626080065,101.01506975460052,ok,159.8156669139862,31,22
385,True,-3146.4688171523785,-3281.616749088863,270.29586387296877,ok,69.64345693588257,31,19
386,True,-3111.77760955533,-3397.6055599334713,571.6559007562828,ok,164.28633880615234,31,20
387,True,-2837.4352947562675,-3072.447709207487,470.02482890243937,ok,73.48824000358582,31,16
388,False,-3058.1353262725593,-3331.286631458414,546.3026103717093,ok,249.5712368488312,31,19
389,True,-2971.716741806989,-3330.116458366426,716.7994331188738,ok,207.0792579650879,31,20
390,True,-3364.798365494815,-3459.8399266101474,190.0831222306651,ok,206.1519160270691,31,18
391,True,-3440.2375319391767,-3510.850304845585,141.22554581281656,ok,187.4131419658661,31,20
392,True,-2982.627080824067,-3259.3746538443575,553.495146040581,ok,137.36944484710693,31,20
393,True,-3022.4158193136946,-3231.55794449789,418.2842503683906,ok,142.91367506980896,31,24
394,True,-3020.30597637933,-3169.1077635006936,297.6035742427275,ok,197.42831993103027,31,16
395,False,-3008.9153978366735,-3203.917777681034,390.0047596887207,ok,245.5073757171631,31,18
396,True,-2919.589136924119,-3200.3153740419393,561.4524742356407,ok,201.47311401367188,31,20
397,True,-3154.961202614625,-3335.2996620528006,360.676918876351,ok,183.51665115356445,31,19
398,True,-3520.4360009111083,-3571.4614557844898,102.05090974676295,ok,149.03055500984192,31,18
399,True,-3017.6086377286465,-3372.0471577970393,708.8770401367856,ok,202.47292232513428,31,19
400,True,-3570.9505421241456,-3650.7820062098126,159.662928171334,ok,124.90069913864136,31,23
401,True,-3275.449954641178,-3349.2484607172346,147.59701215211317,ok,105.59365105628969,31,18
