scenario,base_ssp,diet_pathway,year,population_million,food_demand_mt,energy_kcal,protein_g,fat_g,kcal_per_capita_day,protein_g_per_capita_day,fat_g_per_capita_day
SSP3__CGS,SSP3,CGS,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP3__CGS,SSP3,CGS,2050,10032.693332667446,3261.0445770995507,7846844586773559.0,212912732468381.5,243397985960463.03,2142.814858830034,58.14216934235778,66.46707669022872
SSP3__MTS,SSP3,MTS,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP3__MTS,SSP3,MTS,2050,10032.693332667446,3289.245568344539,7957981559310644.0,215911576469840.2,247641924760126.38,2173.164122598972,58.961093103951136,67.62601070750397
SSP3__PTS,SSP3,PTS,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP3__PTS,SSP3,PTS,2050,10032.693332667446,3340.6266841187967,8118108829144871.0,221201413005383.12,255026546271255.4,2216.891647632796,60.40564068021505,69.6426017748937
SSP4__BASELINE,SSP4,BASELINE,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP4__BASELINE,SSP4,BASELINE,2050,9886.15428697766,3430.0504680441313,8323323242712711.0,227190500684145.12,259944762760627.44,2306.622439884253,62.960753983140215,72.03786341459374
SSP4__CGS,SSP4,CGS,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP4__CGS,SSP4,CGS,2050,9886.15428697766,3349.9423560867976,8036155974782667.0,219129713554133.9,249838007555822.25,2227.040469451033,60.726887541212356,69.23700278837316
SSP4__MTS,SSP4,MTS,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP4__MTS,SSP4,MTS,2050,9886.15428697766,3378.4095446749216,8148981976045723.0,222213467889891.06,254168364334853.84,2258.3076663058023,61.58148092206844,70.43706408936426
SSP4__PTS,SSP4,PTS,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP4__PTS,SSP4,PTS,2050,9886.15428697766,3430.8704243334564,8312272422355357.0,227681757287353.9,261744427103285.34,2303.5599527655745,63.09689473745908,72.53660004129735
SSP5__BASELINE,SSP5,BASELINE,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP5__BASELINE,SSP5,BASELINE,2050,9176.378638612174,3594.6956193432356,8636143545570451.0,239522322552150.03,273594630522435.9,2578.4318825488917,71.51247426490393,81.6852006350753
SSP5__CGS,SSP5,CGS,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP5__CGS,SSP5,CGS,2050,9176.378638612174,3507.9625872264432,8324726296761993.0,230711016900143.2,262588907074561.22,2485.454252097712,68.88174547952256,78.39930015429056
SSP5__MTS,SSP5,MTS,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP5__MTS,SSP5,MTS,2050,9176.378638612174,3538.764215832835,8447065821659516.0,234084435857461.16,267299029230359.28,2521.980292896727,69.88892315632309,79.80556778672688
SSP5__PTS,SSP5,PTS,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP5__PTS,SSP5,PTS,2050,9176.378638612174,3595.888464510294,8624573238462740.0,240084195730570.47,275564822912853.4,2574.977418345051,71.68022873882434,82.27342694782728
