T1,wave,total_大米,ratio_大米
43,2009,1160.0,1.0
43,2009,2418.5,1.0
43,2009,1107.0,1.0
43,2009,560.0,0.55178571
43,2009,3170.0,1.0
43,2009,2190.0,0.72602737
43,2009,2621.0,0.77107972
43,2009,900.0,1.0
43,2009,3260.0,0.87116563
43,2009,2470.0,1.0
43,2009,2580.0,1.0
43,2009,650.0,0.38461539
43,2009,1200.0,0.5
43,2009,3985.0,1.0
43,2009,1200.0,1.0
43,2009,4539.0,0.91187489
43,2009,4808.0,1.0
43,2009,2940.0,0.98299319
43,2009,2880.3,0.99958336
43,2009,2110.0,1.0
43,2009,2039.0,1.0
43,2009,5009.2,0.82432324
43,2009,2255.0,1.0
43,2009,1200.0,1.0
43,2009,2500.0,1.0
43,2009,2020.0,1.0
43,2009,2415.0,0.75031054
43,2009,5115.099999999999,0.79472542
43,2009,2575.0,0.80582523
43,2009,3661.0,1.0
43,2009,900.0,1.0
43,2009,2100.0,1.0
43,2009,800.0,0.75
43,2009,2240.0,0.8214286
43,2009,645.0,0.53488374
43,2009,2567.0,1.0
43,2009,550.0,1.0
43,2009,4206.0,1.0
43,2009,4000.0,1.0
43,2009,3410.0,0.94134897
43,2009,1250.0,1.0
43,2009,905.0,0.99447513
43,2009,2740.0,0.53467155
43,2009,1824.5,1.0
43,2009,900.0,1.0
43,2009,3740.0,0.9197861
43,2009,4059.8,1.0
43,2009,1450.0,1.0
43,2009,1100.0,0.68181819
43,2009,750.0,1.0
43,2009,2200.0,0.18181819
43,2009,4566.0,1.0
43,2009,1450.0,1.0
43,2009,1650.0,0.81818181
43,2009,2044.0,1.0
43,2009,5138.8,1.0
43,2009,930.0,1.0
43,2009,1450.0,1.0
43,2009,1230.0,0.065040648
43,2009,2559.0,1.0
43,2009,4231.5,0.96455157
43,2009,1300.0,1.0
43,2009,2410.5,1.0
43,2009,3867.0,0.66382205
43,2009,700.0,1.0
43,2009,2834.5,1.0
43,2009,2100.0,0.61904764
43,2009,1830.0,1.0
43,2009,1490.0,1.0
43,2009,3040.5,1.0
43,2009,1500.0,0.53333336
43,2009,3880.0,0.8917526
43,2009,2108.0,0.92813092
43,2009,2100.0,0.9285714
43,2009,1200.0,1.0
43,2009,2371.5,0.91355681
43,2009,790.0,1.0
43,2009,1500.0,1.0
43,2009,1407.0,1.0
43,2009,1500.0,1.0
43,2009,620.0,0.83870965
43,2009,5033.0,1.0
43,2009,2530.0,0.40316206
43,2009,900.0,1.0
43,2009,1660.0,0.89156628
43,2009,2280.0,1.0
43,2009,4110.0,0.85401458
43,2009,900.0,1.0
43,2009,2123.5,0.70261359
43,2009,3182.5,1.0
43,2009,3436.0,0.92724097
43,2009,3900.0,1.0
43,2009,1370.0,1.0
43,2009,960.0,1.0
43,2009,3675.300000000001,0.918374
43,2009,1000.0,1.0
43,2009,2865.0,0.78952879
43,2009,2981.3,1.0
43,2009,4517.0,0.77994245
43,2009,1650.0,1.0
43,2009,4163.0,0.99927938
43,2009,2950.0,0.54237288
43,2009,1300.0,0.07692308
43,2009,3858.0,1.0
43,2009,3320.0,1.0
43,2009,580.0,0.27586207
43,2009,1050.0,0.0
43,2009,3151.0,0.83497304
43,2009,1051.5,1.0
43,2009,1030.0,1.0
43,2009,2894.0,0.84105045
43,2009,2229.0,1.0
43,2009,2450.0,1.0
43,2009,2334.0,0.81790918
43,2009,1520.0,0.90131581
43,2009,1400.0,1.0
43,2009,1050.0,1.0
43,2009,5116.0,1.0
43,2009,2867.0,1.0
43,2009,667.5,0.86516851
43,2009,1950.0,1.0
43,2009,1390.0,0.53237408
43,2009,3371.0,1.0
43,2009,4532.0,1.0
43,2009,3485.0,1.0
43,2009,1550.0,1.0
43,2009,1050.0,0.42857143
43,2009,750.0,1.0
43,2009,1870.0,0.67914438
43,2009,550.0,0.0
43,2009,640.0,1.0
43,2009,3405.0,1.0
43,2009,428.3000000000001,0.99976653
43,2009,2908.0,0.96561211
43,2009,900.0,1.0
43,2009,1710.0,1.0
43,2009,2590.0,1.0
43,2009,3839.0,0.72649127
43,2009,4915.0,1.0
43,2009,3268.5,1.0
43,2009,3200.0,1.0
43,2009,1440.0,1.0
43,2009,1202.5,1.0
43,2009,1054.0,1.0
43,2009,1470.0,1.0
43,2009,655.0,0.84732825
43,2009,3847.0,1.0
43,2009,3776.0,0.97351694
43,2009,1990.0,1.0
43,2009,2560.5,0.80472565
43,2009,1500.0,1.0
43,2009,3858.0,1.0
43,2009,1250.0,0.36000001
43,2009,2325.0,1.0
43,2009,2323.6,0.96470994
43,2009,1614.0,0.94392812
43,2009,765.0,1.0
43,2009,2601.7,1.0
43,2009,1825.0,1.0
43,2009,1820.0,0.69780219
43,2009,4176.0,0.90421456
43,2009,763.3000000000001,1.0
43,2009,2700.0,1.0
43,2009,600.0,1.0
43,2009,2400.0,1.0
43,2009,3028.0,0.94980186
43,2009,3485.0,1.0
43,2009,2080.0,0.56730771
43,2009,1850.0,0.91891891
43,2009,2518.0,1.0
43,2009,1440.0,0.65972221
43,2009,2360.0,1.0
43,2009,2380.0,1.0
43,2009,4500.0,0.78888887
43,2009,3223.3,0.81283158
43,2009,1900.0,1.0
43,2009,800.0,0.125
43,2009,1690.0,1.0
43,2009,523.0,1.0
43,2009,3992.5,0.99987477
43,2009,780.0,1.0
45,2009,2900.0,0.96551722
45,2009,540.0,1.0
45,2009,970.0,1.0
45,2009,810.5,0.62615669
45,2009,1200.0,1.0
45,2009,4814.0,1.0
45,2009,4056.5,0.99494636
45,2009,5651.1,1.0
45,2009,7702.0,0.94780576
45,2009,1205.0,0.31120333
45,2009,1500.0,1.0
45,2009,4812.0,0.9896093
45,2009,1258.0,0.55087441
45,2009,2000.0,1.0
45,2009,3980.0,0.81155777
45,2009,1570.0,0.71337581
45,2009,3603.0,0.85761863
45,2009,2075.0,1.0
45,2009,1684.0,0.52969122
45,2009,4843.0,0.72475737
45,2009,4415.5,0.99671614
45,2009,1950.0,1.0
45,2009,4096.0,0.96276855
45,2009,531.0,1.0
45,2009,2824.0,0.89164305
45,2009,1700.0,1.0
45,2009,1470.0,1.0
